epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.8026,1.68405,4.45116,1.57603,0.00128,0.32216,0.07271,0.03365,1.85202,4.06262,1.82994,0.00045009,0.00045009,0.00045009
2,72.011,1.35167,2.33635,1.22146,0.94084,0.0923,0.38065,0.20864,1.10208,3.27686,1.30278,0.000905504,0.000905504,0.000905504
3,109.497,1.26849,1.90151,1.20042,0.09495,0.26197,0.07135,0.03683,1.29122,2.9188,1.31485,0.00134937,0.00134937,0.00134937
4,146.185,1.25919,1.61431,1.19243,0.25563,0.02941,0.10395,0.04455,1.59697,3.51075,1.34488,0.00160511,0.00160511,0.00160511
5,180.947,1.2799,1.34518,1.20777,0.73714,0.65498,0.81737,0.48568,1.60222,1.85223,1.7835,0.00158448,0.00158448,0.00158448
6,219.277,1.23756,1.14353,1.18393,0.73077,0.81931,0.88903,0.44191,1.52221,1.39216,1.7597,0.00156385,0.00156385,0.00156385
7,255.5,1.18847,0.9978,1.16252,0.89293,0.85197,0.93196,0.52733,1.22803,1.09622,1.47307,0.00154323,0.00154323,0.00154323
8,290.585,1.18368,0.91299,1.17083,0.90178,0.99369,0.93728,0.53164,1.44534,0.85408,1.7149,0.0015226,0.0015226,0.0015226
9,328.715,1.13102,0.80456,1.13931,0.89262,0.8835,0.94446,0.53445,1.6025,1.72957,1.7892,0.00150197,0.00150197,0.00150197
10,367.266,1.1042,0.76656,1.11532,0.85609,0.89535,0.94289,0.53592,1.60433,1.46466,1.66362,0.00148134,0.00148134,0.00148134
11,402.404,1.13141,0.75863,1.14144,0.92089,0.99235,0.96836,0.58317,1.14766,0.69648,1.43656,0.00146071,0.00146071,0.00146071
12,438.269,1.12524,0.72201,1.13438,0.81901,0.76207,0.8754,0.53585,1.46474,1.7877,1.62,0.00144008,0.00144008,0.00144008
13,471.697,1.08506,0.6889,1.11441,0.92275,0.842,0.87395,0.49922,1.57414,1.04517,1.7176,0.00141945,0.00141945,0.00141945
14,505.779,1.11053,0.67657,1.12677,0.8878,0.96673,0.95678,0.61201,1.20118,0.74353,1.51465,0.00139882,0.00139882,0.00139882
15,542.48,1.10968,0.66289,1.12644,0.85646,1,0.94305,0.55431,1.38609,0.72134,1.66791,0.00137819,0.00137819,0.00137819
16,576.489,1.08188,0.63682,1.11207,0.90129,0.96512,0.96283,0.57873,1.84753,0.69885,1.8749,0.00135756,0.00135756,0.00135756
17,612.363,1.07095,0.61332,1.10575,0.92581,1,0.98303,0.5917,1.30362,0.7873,1.54704,0.00133693,0.00133693,0.00133693
18,648.19,1.08714,0.6417,1.11791,0.92888,0.97674,0.96598,0.58521,1.32383,0.92338,1.60411,0.0013163,0.0013163,0.0013163
19,682.407,1.05042,0.60069,1.09647,0.83563,0.97142,0.93947,0.60092,1.41454,0.644,1.54375,0.00129568,0.00129568,0.00129568
20,716.268,1.09276,0.59881,1.12165,0.93649,0.99663,0.98517,0.58633,1.56071,0.57068,1.83745,0.00127505,0.00127505,0.00127505
21,752.612,1.05853,0.57714,1.08824,0.93245,0.95349,0.96188,0.57479,1.72261,0.66076,1.8535,0.00125442,0.00125442,0.00125442
22,787.135,1.06819,0.57532,1.10112,0.9402,1,0.97083,0.60625,1.60481,0.57901,1.70316,0.00123379,0.00123379,0.00123379
